P_MASS,P_RADIUS,P_DENSITY,P_GRAVITY,P_ESCAPE,P_TYPE,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,P_PERIASTRON,P_APASTRON,P_IMPACT_PARAMETER,P_HILL_SPHERE,S_MASS,S_RADIUS,S_LUMINOSITY,S_TEMPERATURE,S_AGE,S_METALLICITY,S_LOG_G,S_TYPE,S_MAG,S_SNOW_LINE,S_TIDAL_LOCK,P_DETECTION,P_DISTANCE
337.21551,20.922312897545535,8.456165237468976,0.0,4.527855778335461,0.0,153.22,0.576,0.001,68.0784486227292,55.0,0.575424,0.576576,0.7659033150195249,0.039048208,1.08,8.95,33.525318,4649.0,7.41,0.0,2.61,76.0,10.31,15.633284,0.5124708,7.0,0.57600029
352.78908,49.929453538670145,64.90977231649039,41.28201407385853,1.6403394550136974,0.0,137.48,0.539,0.26,38.975444175155594,302.0,0.39886,0.67914,0.6077289214082411,0.027309464,1.1,14.7,102.43303,4796.0,7.1,0.28,2.8,108.0,9.046,27.326485,0.5119554,7.0,0.5572182
17668.059,324.6283500613297,233.62017461110602,109.93112845011055,5.779787372246087,0.0,379.63,1.05,0.15,0.0,119.27529205487005,0.8925,1.2075,2.9938968392604868,0.10509456,10.83,71.02,1486.8958,4259.0,25924.42105701369,0.0,1.77,131.0,9.75,104.11278,1.0206902,7.0,1.0618125
3963.3152,358.2734211473519,318.5900212142026,44.02167841869252,0.0,0.0,621.99,2.01,0.18,0.0,126.02,1.6482,2.3718,2.577305694516327,0.11792481,10.83,71.02,1486.8958,4259.0,119528.33063943339,0.0,1.77,131.0,9.75,104.11278,1.0206902,7.0,2.042562
1334.8776,27.606065729936088,101.67591854679168,243.73548397658996,7.069486255793783,0.0,578.2,1.3,0.21,25.091934873911306,108.5,1.027,1.573,0.5535789930962431,0.12184456,0.8,17.3,91.335149,4296.0,353561.7233763599,0.0,1.99,150.0,9.36,25.803745,0.42826685,7.0,1.328665
22.24796,2.5783,1.2980453,3.3467502,2.9375034,2.0,41.6855,0.2790448546951806,0.0,89.55,308.4232343761777,0.27908623,0.27908623,1.137935436957489,0.0066178184,1.67,1.08,1.1551402,5766.0,494.18890627882774,0.0,4.5,40.0,11.038,2.9018912,0.54733928,8.0,0.27908623
289.22348,29.640156619120035,15.406538158210228,18.067137580889966,3.2683868516848866,0.0,392.6,1.0,0.2,79.9476779232199,358.9,0.8,1.2,0.8972017182008544,0.058507176,0.74,11.0,41.153174,4414.0,11199.682694462408,0.0,2.24,109.0,9.14,17.3207,0.41728076,7.0,1.02
540.3076,24.499772857075925,82.68867863503462,133.02605738301418,7.468651965219638,0.0,733.0,1.7,0.76,55.6753466154137,100.0,0.408,2.992,0.7519160522344449,0.03229859,1.09,10.33,40.403162,4534.0,107866.97800358327,0.0,2.48,139.0,8.699,17.16214,0.47478096,7.0,2.19096
508.5248,35.72232595679511,66.71609351425894,60.65770333572734,6.731360164238172,0.0,2590.0,4.2,0.35,70.3451042342509,170.0,2.73,5.67,1.343114415770804,0.18957048,1.52,7.6,30.894294,4943.0,2.34,0.0,2.85,108.0,9.38,15.007312,0.47392397,7.0,4.45725
8.5813561,1.9850266318199319,12.949469206380229,8.146657316620223,0.6348764273119496,4.0,3.8728,0.0428,0.0,73.62149101096526,0.0,0.0428,0.0428,0.7129673084293504,0.00098714645,0.7,1.6039145342357901,0.10912625,4324.0,4.4,0.0,4.74,158.0,9.7,0.8919251,0.40659899,7.0,0.0428
54.03076,1.594463038459148,10.912847019925534,16.426624027697677,0.5695699020267813,0.0,125.94,0.435,0.31,82.25699083203827,41.0,0.30015,0.56985,0.355726662949873,0.01278315,0.7,0.3139940048370219,0.10912625,4324.0,4.4,0.0,4.74,158.0,9.7,0.8919251,0.40659899,7.0,0.45590175
12.71312,4.5818262939864365,16.472545552756607,21.546830467476777,2.014496823105717,2.0,5.6,0.06,0.15,93.4291321465726,119.80300338183571,0.051,0.069,0.6209928740550782,0.0015000858,0.5,0.71,0.24296922,4816.0,0.0,0.0,4.43,141.0,9.88,1.3308815,0.366163,7.0,0.060675
104.88324,2.4380622299601975,47.737826196912415,79.26143599527052,4.156919691374081,0.0,237.6,0.68,0.19,103.58056618477482,0.0,0.5508,0.8092,0.6209385881230761,0.032735916,0.5,0.71,0.24296922,4816.0,46951.58292542719,0.0,4.43,141.0,9.88,1.3308815,0.366163,7.0,0.692274
187.51852,9.187752907535224,54.13690792906184,87.18877610802667,4.84317523162027,0.0,3.48777,0.04,0.02,78.32052913835818,92.25464837172302,0.0392,0.0408,0.31116616263417773,0.0019738473,1.47,0.91,0.62761471,5393.0,79025.61646723651,0.38,4.69,115.0,10.08,2.1389978,0.52455404,7.0,0.040008
168.44884,10.154455294047619,11.768721827998528,5.559649756938045,3.8263957243912237,0.0,1667.0,2.28,0.05,91.53891713543948,231.0,2.166,2.394,0.5147341766002238,0.14431386,0.57,0.52,0.097155523,4475.0,4.4,0.0,4.1,156.0,9.99,0.84158409,0.37968657,7.0,2.28285
3108.3579,48.587605353499434,14.89717159667891,0.0,4.032987647351227,0.0,714.29999,1.66,0.21,10.222785202262582,92.7859580625919,1.3114,2.0086,1.0438656311012673,0.14902259,2.12,19.17,140.49744,4545.0,0.0,0.0,2.2,80.0,9.45,32.003537,0.59264745,7.0,1.696603
